VistID,Time_Spent,Age,Avg_Income,Internet_Usage,Ad_Topic,Country_Name,City_code,Male,Time_Period,Weekday,Month,Year,Clicked
5183153,87.97,43,55901.12,185.46,product_11,Serbia,City_5,No,Mid-Night,Thursday,July,2020,0
4023265,51.63,50,39132,176.73,product_8,Turkmenistan,City_1,No,Evening,Saturday,June,2020,1
4708083,82.37,38,57032.36,210.6,product_6,Northern Mariana Islands,City_2,No,Morning,Tuesday,January,2020,0
9771815,62.06,45,48868,190.05,product_19,South Africa,City_3,Yes,Morning,Thursday,April,2020,1
6451317,77.66,31,61608.23,204.86,product_11,Guadeloupe,City_2,No,Noon,Thursday,January,2020,0
1475237,35.98,38,60813,125.2,product_10,Guernsey,City_2,Yes,Early-Morning,Saturday,July,2020,1
5578680,52.7,26,49283,140.83,product_1,Anguilla,City_2,Yes,Early-Morning,Tuesday,January,2020,1
4037672,82.58,23,61601.05,183.42,product_8,Switzerland,City_4,No,Noon,Sunday,July,2020,0
5792642,70.96,22,69874.18,198.72,product_29,Niue,City_3,No,Mid-Night,Tuesday,April,2020,0
9377192,56.91,50,21773.22,146.44,product_18,Norfolk Island,City_4,No,Early-Morning,Friday,April,2020,1
9087307,59.61,30,53412.32,170.9,product_7,Guernsey,City_1,Yes,Noon,Wednesday,July,2020,0
4358681,75.71,34,62109.8,246.06,product_27,Portugal,City_3,No,Morning,Friday,March,2020,0
2161217,61.72,36,55499.69,192.93,product_4,Belize,City_3,Yes,Night,Tuesday,July,2020,0
3215042,32.6,38,40159.2,190.05,product_13,Syrian Arab Republic,City_3,No,Mid-Night,Friday,February,2020,1
9548963,54.35,23,63727.5,211.56,product_5,Puerto Rico,City_5,No,Evening,Monday,February,2020,0
3519347,85.26,24,37908.29,205.84,product_2,Costa Rica,City_5,Yes,Morning,Wednesday,January,2020,0
4314049,44.13,23,57668,198.3,product_23,Sweden,City_1,No,Evening,Friday,January,2020,1
3659784,59.13,35,31093,165.56,product_24,Sierra Leone,City_1,No,Evening,Saturday,May,2020,1
3118350,60.25,27,68738,142.21,product_29,Mauritius,City_1,No,Mid-Night,Wednesday,June,2020,1
6989394,72.46,40,56683.32,113.53,product_28,Malawi,City_3,No,Morning,Sunday,May,2020,1
2318449,88.04,22,55901.12,234.26,product_30,Austria,City_1,No,Morning,Saturday,January,2020,0
1812219,86.81,29,50820.74,199.62,product_26,Turkmenistan,City_6,Yes,Evening,Sunday,February,2020,0
8807224,74.87,53,63891,121.05,product_10,Saint Helena,City_2,Yes,Evening,Thursday,January,2020,1
8676693,85.86,23,66504.16,193.77,product_16,Trinidad and Tobago,City_2,Yes,Noon,Monday,May,2020,0
8022280,61.87,26,69476.42,229.22,product_2,Malawi,City_2,No,Noon,Monday,May,2020,0
4415297,83.67,44,52140.04,250.35,product_18,Italy,City_4,Yes,Morning,Wednesday,March,2020,0
3713234,79.36,25,70492.6,231.49,product_28,Cote d'Ivoire,City_4,Yes,Evening,Sunday,March,2020,0
7895966,76.84,44,67279.06,211.65,product_18,Burundi,City_2,No,Noon,Monday,January,2020,0
3470512,84.29,45,45581,129.01,product_7,Turkmenistan,City_2,Yes,Morning,Friday,January,2020,1
4005304,44.11,26,62658,131.29,product_3,Belarus,City_3,No,Night,Thursday,March,2020,1
5470585,78.6,27,72042.85,162.03,product_25,Holy See (Vatican City State),City_1,Yes,Morning,Saturday,July,2020,0
4719446,80.47,32,69438.04,231.37,product_21,Switzerland,City_3,Yes,Mid-Night,Tuesday,July,2020,0
2215017,84.08,27,56593.8,209.25,product_19,Bosnia and Herzegovina,City_5,Yes,Evening,Monday,May,2020,0
4990099,60.7,37,44307,144.62,product_15,Seychelles,City_1,Yes,Early-Morning,Thursday,February,2020,1
2492053,77.35,40,69646.35,180.88,product_16,Mozambique,City_1,Yes,Early-Morning,Sunday,January,2020,0
8492646,77.14,27,69438.04,234.26,product_1,Lesotho,City_1,Yes,Evening,Wednesday,February,2020,0
9176781,55.13,60,54645,149.67,product_12,Antarctica (the territory South of 60 deg S),City_1,Yes,Night,Thursday,April,2020,1
2734300,62.26,36,63664.32,254.94,product_11,Haiti,City_2,Yes,Morning,Saturday,July,2020,0
